47,17,90,87,6,153,7,124,116,105,22,147,35,142,19,74,34,19,15,53,75,140,87,156,96,106,71,167,134,155
47,72,372,374,84,30,81,294,308,326,67,250,55,254,70,396,78,73,76,44,396,258,362,416,348,330,222,210,272,232
47,56.486,426.47,428.06,60.277,47.516,59.977,246.43,271.27,283.55,55.964,102.23,47.544,102.21,56.27,443.08,51.477,56.297,56.823,48.299,436.09,102.2,427.96,454.69,291.25,283.16,92.933,72.011,231.41,95.031
1.7386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1,0,0,1,0,-1
1,1,0,-1,1,-0,1,1,-0,1,1,-0,1,-1,0,-1,0,1,1,1,0,-0,-1,-1,1,-0,-0,1,-0,-1
-1,-1,-0,-0,-1,-1,-1,-0,-0,-0,-1,-0,-1,-0,-1,-0,-1,-1,-1,-1,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0
-1,-0,1,1,-0,-0,-0,1,-0,-1,-0,1,-1,1,-0,1,-0,-0,-0,-1,1,1,1,1,-1,-1,-1,-1,-1,-0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
